timestamp,mode,part_count_good_noreset,stroke_count,tool_num,basespl,rms_U,rms_V,rms_W,mean,std,max,min,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,zero_crossing_rate,rms_energy,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
2024-08-29 18:14:16.791452+00:00,ACTIVE,4443320,3800521,3179100,82.7452,24.996,25.345,22.446,8.63E-06,0.12721099,0.8808288,-1.0133094,-257.0043,201.64468,-16.35029,-50.7701,-19.79978,2.850557,4.800192,-9.200284,-15.680378,-0.99761313,1.0671502,-0.43227082,4.920255,953.0534711,719.449609,1395.599894,0.00036289624,0.07968867157,0.07880583,0.42660612,0.5649404,0.50022715,0.8741612,0.6068344,0.26257217,0.18733405,0.23168255,0.33792382,0.3128797,0.21769452,0.26038438
2024-08-29 18:15:16.853026+00:00,ACTIVE,4443370,3800571,3179100,106.4458,25.213,22.051,22.589,-2.76E-06,0.12723877,0.8967546,-1.0110915,-257.52185,202.90968,-17.964973,-50.462456,-18.90599,2.4137304,4.831655,-8.905906,-15.924557,-1.2603807,1.1592022,-0.20363177,4.9014196,957.6087285,724.6768376,1401.554025,0.00036757273,0.08031357331,0.07880351,0.3905359,0.56551397,0.47187045,0.847871,0.6587352,0.28892234,0.19335218,0.22160569,0.3288978,0.32169184,0.21949416,0.24848454
2024-08-29 18:16:16.769776+00:00,ACTIVE,4443420,3800621,3179100,85.7368,23.221,25.414,14.638,3.64E-06,0.12812077,0.8799224,-1.0151664,-257.791,204.45317,-18.344824,-50.728947,-19.423018,2.3274708,5.1532464,-8.916763,-16.021732,-0.868038,1.2793067,-0.5073476,5.2113967,957.9332359,719.5724236,1403.916511,0.00042089424,0.08028655156,0.07974572,0.391383,0.5635622,0.46778223,0.85124767,0.6562584,0.28742665,0.19040868,0.21428236,0.3187223,0.31223595,0.21418266,0.24699265
2024-08-29 18:17:16.757712+00:00,ACTIVE,4443471,3800672,3179100,84.7518,25.027,17.595,25.125,4.96E-06,0.11077107,0.8838552,-1.0156183,-276.01157,204.07626,-18.949783,-60.018345,-25.308502,0.10440271,3.2921705,-8.872284,-12.217888,3.196858,3.504161,-0.39492992,3.826044,944.0064719,661.5211215,1361.416768,0.0002801309,0.07871796694,0.06971965,0.3584609,0.5140119,0.42937088,0.8002193,0.69229084,0.31365788,0.2073005,0.254815,0.40522468,0.2977259,0.20347297,0.21893267
2024-08-29 18:19:16.698911+00:00,ACTIVE,4443554,3800755,3179100,84.6558,16.889,13.406,28.023,1.33E-05,0.1280518,0.88402474,-1.0173057,-257.46304,202.00793,-16.635242,-50.332127,-19.919409,2.7840867,5.057125,-9.033673,-15.706311,-0.7522911,1.0271364,-0.5829852,4.9628477,956.7087933,731.8752203,1403.945677,0.00039909032,0.07952446244,0.079022095,0.41613454,0.57763183,0.48936275,0.8631467,0.63054425,0.26695246,0.19134054,0.23338729,0.32544097,0.30018008,0.22033928,0.26504815
2024-08-29 18:20:16.602279+00:00,ACTIVE,4443604,3800805,3179100,85.902,13.282,16.314,18.965,-4.53E-06,0.12678505,0.89019656,-1.01846,-260.78067,206.81741,-18.707539,-50.234974,-19.14368,2.1712813,5.413308,-8.948162,-16.275152,-0.36696416,1.3269982,-0.718121,5.198122,953.1359956,719.2774411,1401.933189,0.00039189518,0.07970586724,0.07861588,0.39304864,0.5847357,0.4730902,0.8472485,0.6796785,0.29174626,0.1993007,0.23253495,0.3293667,0.3209036,0.22270131,0.2519544
2024-08-29 18:21:16.511538+00:00,ACTIVE,4443654,3800855,3179100,85.5578,15.175,14.778,25.958,9.28E-06,0.12916644,0.8960011,-1.0148156,-257.3544,203.62592,-17.038576,-50.93628,-19.82944,3.1692305,5.241911,-9.1018,-15.905966,-0.8144656,1.2281123,-0.5035427,5.1914144,955.6891174,719.0682867,1404.254009,0.0003915639,0.08024271206,0.07997842,0.43195048,0.57219666,0.49597168,0.8712173,0.61109173,0.2612318,0.19109485,0.24019006,0.32937422,0.30017146,0.21504216,0.2691824
2024-08-29 18:22:16.473542+00:00,ACTIVE,4443705,3800906,3179100,84.4596,17.867,17.599,22.613,3.66E-07,0.11056335,0.8792294,-1.0154516,-273.59103,203.98883,-19.563334,-60.85519,-25.119844,0.790331,3.0283015,-9.530703,-12.211682,3.6331387,3.9830437,0.124543846,4.0127916,946.4982159,662.9454598,1373.320862,0.00030705653,0.07781491117,0.07153141,0.32251316,0.46560925,0.39103293,0.7836081,0.7486715,0.29923782,0.18611893,0.2217285,0.2994647,0.26464507,0.20037074,0.21358646
2024-08-29 18:24:16.488025+00:00,ACTIVE,4443759,3800960,3179100,82.6978,20.249,17.063,22.018,4.74E-06,0.12772794,0.8672743,-1.0161358,-255.40195,200.11487,-15.76129,-50.87876,-20.323572,3.3204267,5.1454268,-9.292237,-15.749757,-0.88243824,1.0241834,-0.44517976,5.171521,956.679792,724.3205089,1400.262366,0.00038223085,0.07986780881,0.07920349,0.41006196,0.58257526,0.46852836,0.8426117,0.6574641,0.2791548,0.18144588,0.21354038,0.31328064,0.30899167,0.22279637,0.25934133
2024-08-29 18:25:16.783531+00:00,ACTIVE,4443809,3801010,3179100,84.944,14.823,16.765,22.228,1.85E-06,0.12877853,0.89748895,-1.0148222,-258.3699,204.69263,-17.82964,-50.851757,-19.49661,2.6942997,5.2882743,-9.001321,-15.993089,-0.9796099,0.98750633,-0.49102557,5.4580374,952.9901885,712.9959247,1399.220706,0.00036278786,0.08015559997,0.07973268,0.43311808,0.5628467,0.49766147,0.8694671,0.59254014,0.2524203,0.18162823,0.2217351,0.31494683,0.29395807,0.21659875,0.26337528
